Kanton;Woche;endend;Alter;untGrenze;Erwartung;obeGrenze;AnzTF_HR;Exzess
AG  ;           1;05.01.2020;0-64    ;           5;          15;          25;          14;           .
AG  ;           2;12.01.2020;0-64    ;           5;          15;          25;          10;           .
AG  ;           3;19.01.2020;0-64    ;           5;          15;          25;          12;           .
AG  ;           4;26.01.2020;0-64    ;           5;          15;          24;          14;           .
AG  ;           5;02.02.2020;0-64    ;           5;          15;          24;           9;           .
AG  ;           6;09.02.2020;0-64    ;           5;          14;          24;          12;           .
AG  ;           7;16.02.2020;0-64    ;           5;          14;          24;          13;           .
AG  ;           8;23.02.2020;0-64    ;           5;          14;          24;          14;           .
AG  ;           9;01.03.2020;0-64    ;           5;          14;          24;          17;           .
AG  ;          10;08.03.2020;0-64    ;           4;          14;          24;           7;           .
AG  ;          11;15.03.2020;0-64    ;           4;          14;          24;          13;           .
AG  ;          12;22.03.2020;0-64    ;           4;          14;          24;          15;           .
AG  ;          13;29.03.2020;0-64    ;           4;          14;          24;          16;           .
AG  ;          14;05.04.2020;0-64    ;           4;          14;          24;          11;           .
AG  ;          15;12.04.2020;0-64    ;           4;          14;          23;          14;           .
AG  ;          16;19.04.2020;0-64    ;           4;          14;          23;          16;           .
AG  ;          17;26.04.2020;0-64    ;           4;          14;          23;          11;           .
AG  ;          18;03.05.2020;0-64    ;           4;          14;          23;           4;           .
AG  ;          19;10.05.2020;0-64    ;           4;          14;          23;          17;           .
AG  ;          20;17.05.2020;0-64    ;           4;          14;          23;          20;           .
AG  ;          21;24.05.2020;0-64    ;           4;          13;          23;          11;           .
AG  ;          22;31.05.2020;0-64    ;           4;          13;          23;           6;           .
AG  ;          23;07.06.2020;0-64    ;           4;          13;          23;          10;           .
AG  ;          24;14.06.2020;0-64    ;           4;          13;          23;          11;           .
AG  ;          25;21.06.2020;0-64    ;           4;          13;          23;          18;           .
AG  ;          26;28.06.2020;0-64    ;           4;          13;          23;          14;           .
AG  ;          27;05.07.2020;0-64    ;           4;          13;          22;          15;           .
AG  ;          28;12.07.2020;0-64    ;           4;          13;          22;          15;           .
AG  ;          29;19.07.2020;0-64    ;           4;          13;          22;          20;           .
AG  ;          30;26.07.2020;0-64    ;           4;          13;          22;          17;           .
AG  ;          31;02.08.2020;0-64    ;           4;          13;          22;          17;           .
